codeCommune,nom,codePostal,longitude,latitude
378,saint-maurice-de-gourdans,1800,5.2,45.8167
104,chezery-forens,1200,5.88333,46.2167
396,sault-brenaz,1150,5.41667,45.85
268,murs-et-gelignieux,1300,5.66667,45.6333
292,petit-abergement,1260,5.65,46.0333
124,cormoz,1560,5.23333,46.45
372,saint-martin-de-bavel,1510,5.68333,45.85
388,saint-trivier-de-courtes,1560,5.08333,46.4667
56,boyeux-saint-jerome,1640,5.46667,46.0333
89,chateau-gaillard,1500,5.3,45.9667
310,premeyzel,1300,5.65,45.6833
13,arandas,1230,5.48333,45.9
90,chatenay-01,1320,5.2,46.0333
190,innimond,1680,5.56667,45.7833
57,boz,1190,4.9,46.4
64,briord,1470,5.46667,45.7833
322,reyrieux,1600,4.81667,45.9333
240,matafelon-granges,1580,5.56667,46.2667
150,drom,1250,5.36667,46.2167
91,chatillon-en-michaille,1200,5.78333,46.1333
301,polliat,1310,5.13333,46.25
436,vesancy,1170,6.08333,46.35
238,massieux,1600,4.83333,45.9167
343,saint-cyr-sur-menthon,1380,4.98333,46.2667
404,serrieres-sur-ain,1450,5.45,46.15
277,nivollet-montgriffon,1230,5.43333,45.9833
192,izernore,1580,5.55,46.2167
381,saint-nizier-le-desert,1320,5.15,46.05
183,guereins,1090,4.78333,46.1
188,illiat,1140,4.88333,46.1833
425,trancliere,1160,5.26667,46.1167
347,saint-didier-de-formans,1600,4.78333,45.95
242,merignat,1450,5.43333,46.0667
349,saint-eloi-01,1800,5.15,45.9333
85,chapelle-du-chatelard,1240,5.03333,46.0667
361,saint-jean-de-niost,1800,5.21667,45.8333
398,savigneux-01,1480,4.85,46
271,nattages,1300,5.76667,45.7333
338,saint-benoît-01,1300,5.58333,45.7
149,douvres,1500,5.36667,45.9833
165,francheleins,1090,4.8,46.0667
148,dortan,1590,5.66667,46.3167
358,saint-germain-les-paroisses,1300,5.61667,45.7667
249,miribel-01,1700,4.95306,45.8245
205,lancrans,1200,5.83333,46.1333
153,echenevex,1170,6.03333,46.3167
365,saint-jean-sur-veyle,1290,4.91667,46.25
44,billiat,1200,5.78333,46.0667
2,abergement-de-varey,1640,5.41667,46
446,villeneuve-01,1480,4.83667,46.0212
443,villars-les-dombes,1330,5.01667,46
417,thezillieu,1110,5.6,45.8833
352,saint-etienne-sur-reyssouze,1190,5,46.4
411,souclin,1150,5.41667,45.8667
369,saint-just-01,1250,5.28,46.1903
105,civrieux,1390,4.88333,45.9167
17,argis,1230,5.48333,45.9333
415,talissieu,1510,5.71667,45.8667
45,birieux,1330,5.03333,45.95
368,saint-julien-sur-veyle,1540,4.95,46.2
419,thoiry-01,1710,5.97973,46.2364
203,laiz,1290,4.88333,46.25
133,cressin-rochefort,1350,5.76667,45.7667
341,saint-champ,1300,5.73333,45.7833
356,saint-georges-sur-renon,1400,5.03333,46.1
206,lantenay-01,1430,5.53333,46.05
433,vernoux,1560,5.11667,46.4833
122,cormaranche-en-bugey,1110,5.6,45.95
353,sainte-euphemie,1600,4.78333,45.9667
29,beaupont,1270,5.26667,46.4
61,brens-01,1300,5.69473,45.7187
317,ramasse,1250,5.35,46.2
143,divonne-les-bains,1220,6.13333,46.3667
209,leaz,1200,5.88333,46.1
448,villes,1200,5.78333,46.0833
367,saint-julien-sur-reyssouze,1560,5.11667,46.4
182,groslee,1680,5.56667,45.7167
429,vandeins,1660,5.08333,46.2167
432,verjon,1270,5.35,46.35
336,saint-andre-sur-vieux-jonc,1240,5.06667,46.15
334,saint-andre-d-huiriat,1290,4.91667,46.2167
180,grilly,1220,6.11667,46.3333
71,cessy,1170,6.06667,46.3167
280,ordonnaz,1510,5.53333,45.8333
437,vescours,1560,5.03333,46.4667
241,meillonnas,1370,5.35,46.25
171,geovreisset,1100,5.6,46.25
73,ceyzerieu,1350,5.73333,45.8333
170,beard-geovreissiat,1460,5.56667,46.2
66,burbanche,1510,5.56667,45.85
291,perrex,1540,4.98333,46.2333
445,villemotier,1270,5.31667,46.35
195,jasseron,1250,5.33333,46.2167
125,corveissiat,1250,5.48333,46.2333
197,journans,1250,5.33333,46.15
402,sermoyer,1190,4.98333,46.5
87,charix,1130,5.68333,46.1833
15,arbignieu,1300,5.65,45.7333
214,leyssard,1450,5.46667,46.1667
362,saint-jean-de-thurigneux,1390,4.88333,45.95
166,frans,1480,4.78333,45.9833
416,tenay,1230,5.5,45.9167
25,bage-la-ville,1380,4.95,46.3167
263,montmerle-sur-saone,1090,4.76667,46.0833
127,courmangoux,1370,5.36667,46.3333
28,baneins,1990,4.9,46.1167
202,lagnieu,1150,5.35,45.9
24,attignat,1340,5.16667,46.2833
332,saint-andre-de-bage,1380,4.91667,46.3
305,pont-de-vaux,1190,4.93333,46.4333
4,amberieu-en-bugey,1500,5.35,45.95
295,peyzieux-sur-saone,1140,4.81667,46.1167
135,crozet-01,1170,6.01251,46.2806
407,seyssel-01,1420,5.83194,45.9597
43,beynost,1700,5,45.8333
435,versonnex-01,1210,6.09723,46.3023
370,saint-laurent-sur-saone,1620,4.83333,46.3
22,artemare,1510,5.7,45.8667
264,montracol,1310,5.11667,46.1833
286,parves,1300,5.75,45.75
316,pugieu,1510,5.65,45.8167
452,virieu-le-grand,1510,5.65,45.85
385,saint-remy-01,1310,5.16667,46.1833
318,rance,1390,4.86667,45.9667
179,grieges,1290,4.85,46.25
177,grand-corent,1250,5.43333,46.2
282,outriaz,1430,5.55,46.0667
255,montagnieu-01,1470,5.46667,45.8
79,champagne-en-valromey,1260,5.68333,45.9
5,amberieux-en-dombes,1330,4.9,46
49,boisse-01,1120,5.03333,45.85
285,parcieux,1600,4.81667,45.9167
346,saint-didier-d-aussiat,1340,5.06667,46.3
380,saint-nizier-le-bouchoux,1560,5.15,46.45
21,ars-sur-formans,1480,4.81667,45.9833
10,anglefort,1350,5.80833,45.9167
121,corlier,1110,5.5,46.0333
160,ferney-voltaire,1210,6.11667,46.25
379,saint-maurice-de-remens,1500,5.28333,45.95
92,chatillon-la-palud,1320,5.25,45.9667
387,saint-sulpice-01,1340,5.04167,46.3203
340,saint-bois,1300,5.63333,45.7
454,virignin,1300,5.71667,45.7167
311,premillieu,1110,5.56667,45.8667
169,genouilleux,1090,4.78333,46.1167
323,reyssouze,1190,4.91667,46.4333
109,collonges,1550,5.9,46.1333
357,saint-germain-de-joux,1130,5.73333,46.1833
58,bregnier-cordon,1300,5.61667,45.65
375,saint-martin-le-chatel,1310,5.11667,46.2833
234,marignieu,1300,5.71667,45.8
274,neyrolles,1130,5.63333,46.1333
412,sulignat,1400,4.96667,46.1667
38,beny,1370,5.28333,46.3333
189,injoux-genissiat,1200,5.78333,46.05
82,chanay,1420,5.78333,46
93,chatillon-sur-chalaronne,1400,4.96667,46.1167
158,farges-01,1550,5.91667,46.1667
331,saint-alban-01,1450,5.45,46.1
140,curtafond,1310,5.08333,46.2667
451,viriat,1440,5.21667,46.25
35,belleydoux,1130,5.76667,46.25
26,bage-le-chatel,1380,4.93333,46.3
382,sainte-olive,1330,4.93333,46.0167
355,saint-genis-sur-menthon,1380,5.01667,46.2833
147,domsure,1270,5.3,46.4167
95,chavannes-sur-suran,1250,5.41667,46.2667
314,priay,1160,5.28333,46
294,peyrieu,1300,5.67751,45.6767
204,lalleyriat,1130,5.71667,46.15
401,sergy-01,1630,6,46.25
373,saint-martin-du-frene,1430,5.55,46.1333
376,saint-maurice-de-beynost,1700,4.96667,45.8333
405,servas-01,1240,5.16667,46.1333
141,cuzieu-01,1300,5.67445,45.8192
196,jayat,1340,5.11667,46.3667
208,lavours,1350,5.76667,45.8
102,chevroux,1190,4.95,46.3833
302,pollieu,1350,5.75,45.8
32,beligneux,1360,5.11667,45.8667
59,brenaz,1260,5.71667,45.95
37,benonces,1470,5.48333,45.8333
363,saint-jean-le-vieux-01,1640,5.38917,46.0284
30,beauregard-01,1480,4.75139,46.002
283,oyonnax,1100,5.66667,46.25
248,mionnay,1390,4.93333,45.9
172,germagnat,1250,5.45,46.3167
108,coligny,1270,5.35,46.3833
408,simandre-sur-suran,1250,5.41667,46.2167
1,abergement-clemenciat,1400,4.91667,46.15
212,lescheroux,1560,5.15,46.4
281,ornex,1210,6.1,46.2833
144,dommartin-01,1380,4.99167,46.3417
219,lompnas,1680,5.51667,45.8
41,bettant,1500,5.36667,45.9333
19,armix,1510,5.58333,45.85
159,feillens,1570,4.88333,46.3333
97,chavornay,1510,5.7,45.8833
78,challex,1630,5.96667,46.1833
456,vongnes,1350,5.71667,45.8167
227,magnieu,1300,5.71667,45.7833
181,groissiat,1810,5.6,46.2167
146,dompierre-sur-chalaronne,1400,4.9,46.1333
262,montluel,1120,5.05,45.85
300,poizat,1130,5.7,46.15
186,hostiaz,1110,5.53333,45.9
257,montanges,1200,5.8,46.1667
366,sainte-julie,1150,5.28333,45.8833
42,bey-01,1290,4.85,46.2167
410,sonthonnax-la-montagne,1580,5.53333,46.2333
246,mezeriat,1660,5.03333,46.2333
31,bellignat,1810,5.61667,46.25
371,saint-marcel-01,1390,4.98723,45.9487
34,belley,1300,5.68333,45.7667
118,corbonod,1420,5.81667,45.95
275,neyron,1700,4.93223,45.8148
383,saint-paul-de-varax,1240,5.13333,46.1
312,pressiat,1370,5.38333,46.3333
98,chazey-bons,1300,5.68333,45.8
406,servignat,1560,5.06667,46.4333
235,marlieux,1240,5.06667,46.0667
9,andert-et-condon,1300,5.65,45.8
184,hautecourt-romaneche,1250,5.41667,46.1583
134,crottet,1620,4.9,46.2833
151,druillat,1160,5.31667,46.0667
145,dompierre-sur-veyle,1240,5.2,46.0667
290,perouges,1800,5.18333,45.9
325,rignieux-le-franc,1800,5.18333,45.9333
174,giron,1130,5.76667,46.2333
68,cerdon-01,1450,5.46667,46.0833
136,cruzilles-les-mepillat,1290,4.88333,46.2167
210,lelex,1410,5.95,46.3
215,lhopital,1420,5.77834,46.0217
399,segny,1170,6.08333,46.3
100,cheignieu-la-balme,1510,5.61667,45.8333
390,saint-vulbas,1150,5.28333,45.8333
152,echallon,1130,5.74139,46.21
260,montellier,1800,5.06667,45.9333
237,martignat,1810,5.6,46.2167
72,ceyzeriat,1250,5.31667,46.1667
259,montcet,1310,5.11667,46.2
457,vonnas,1540,5,46.2167
65,buellas,1310,5.13333,46.2
337,saint-benigne,1190,4.96667,46.4333
101,chevillard,1430,5.58333,46.1167
52,bouligneux,1330,5,46.0167
116,contrevoz,1300,5.63333,45.8
80,champdor,1110,5.6,46.0167
307,port-01,1460,5.56667,46.1667
413,surjoux,1420,5.8,46.0167
81,champfromier,1410,5.81667,46.2
439,vesines,1570,4.86667,46.35
400,seillonnaz,1470,5.48333,45.8
430,varambon,1160,5.31667,46.0333
176,grand-abergement,1260,5.66667,46.0333
194,jassans-riottier,1480,4.75,45.9833
23,asnieres-sur-saone,1570,4.88333,46.3833
112,condamine-01,1430,5.56667,46.1167
216,lhuis,1680,5.53333,45.75
328,romans-01,1400,5.03333,46.1167
297,pizay,1120,5.08333,45.8833
69,certines,1240,5.26667,46.1333
330,ruffieu,1260,5.66667,46
244,meximieux,1800,5.2,45.9
384,saint-rambert-en-bugey,1230,5.43333,45.95
7,ambronay,1500,5.35,46
106,cize-01,1250,5.43333,46.2
359,saint-germain-sur-renon,1240,5.05,46.0833
449,villette-sur-ain,1320,5.26862,45.9884
142,dagneux,1120,5.06667,45.85
50,boissey-01,1190,5,46.3833
391,salavre,1270,5.35,46.3667
63,brion-01,1460,5.55251,46.1728
200,labalme,1450,5.48333,46.1
397,sauverny,1220,6.11667,46.3167
258,montceaux,1090,4.8,46.1
60,brenod,1110,5.6,46.0667
250,miserieux,1600,4.81667,45.9833
313,prevessin-moens,1280,6.08333,46.25
211,lent-01,1240,5.2,46.1167
236,marsonnas,1340,5.06667,46.3333
231,manziat,1570,4.9,46.35
427,trevoux-01,1600,4.76667,45.9333
33,bellegarde-sur-valserine,1200,5.81667,46.1
53,bourg-en-bresse,1000,5.21667,46.2
114,confort,1200,5.81667,46.15
344,saint-denis-les-bourg,1000,5.2,46.2
239,massignieu-de-rives,1300,5.76667,45.75
351,saint-etienne-sur-chalaronne,1140,4.86667,46.15
245,bohas-meyriat-rignat,1250,5.4,46.1333
103,chevry-01,1170,6.03333,46.2833
157,fareins,1480,4.76667,46.0167
175,gorrevod,1190,4.95,46.4167
428,valeins,1140,4.86667,46.1167
441,vieu-d-izenave,1430,5.53333,46.0833
423,toussieux,1600,4.83333,45.9667
16,arbigny,1190,4.96667,46.4667
229,malafretaz,1340,5.15,46.3167
392,samognat,1580,5.58333,46.25
130,cras-sur-reyssouze,1340,5.16667,46.3
243,messimy-sur-saone,1480,4.76473,46.0484
308,pougny-01,1550,5.95,46.1333
393,sandrans,1400,4.98333,46.0667
306,pont-de-veyle,1290,4.88333,46.2667
247,mijoux,1170,6,46.3667
360,saint-jean-de-gonville,1630,5.95,46.2167
335,saint-andre-le-bouchoux,1240,5.08333,46.1167
83,chaneins,1990,4.85,46.1
198,joyeux,1800,5.1,45.95
424,tramoyes,1390,4.96667,45.8667
46,biziat,1290,4.93333,46.2167
191,izenave,1430,5.53333,46.0333
36,belmont-luthezieu,1260,5.66167,45.8795
14,arbent,1100,5.68333,46.3
414,sutrieu,1260,5.65,45.95
403,serrieres-de-briord,1470,5.45445,45.8081
12,aranc,1110,5.5,46
76,chaley,1230,5.53333,45.95
139,curciat-dongalon,1560,5.15,46.4667
224,loyettes,1360,5.2,45.7667
173,gex,1170,6.06667,46.3333
128,courtes,1560,5.1,46.4667
40,bereziat,1340,5.05,46.3667
207,lapeyrouse-01,1330,4.96667,45.9833
11,apremont-01,1100,5.65833,46.2083
450,villieu-loyes-mollon,1800,5.22223,45.9206
213,leyment,1150,5.3,45.9167
154,etrez,1340,5.18333,46.3333
341,gercy,2140,3.86667,49.8167
804,villemontoire,2210,3.33333,49.3
112,brancourt-le-grand,2110,3.38333,49.9667
428,licy-clignon,2810,3.26667,49.1
624,proisy,2120,3.73333,49.9
157,chambry-02,2000,3.65,49.6
522,mont-saint-jean-02,2360,4.2,49.7833
526,morgny-en-thierache,2360,4.06667,49.7667
481,mesnil-saint-laurent,2720,3.35,49.8333
19,annois,2480,3.16667,49.7167
126,brunehamel,2360,4.18333,49.7667
34,audignicourt,2300,3.13333,49.4833
517,montigny-sur-crecy,2270,3.58333,49.7167
440,lor,2190,4.05,49.5333
189,chivres-en-laonnois,2350,3.85,49.6333
680,saint-gobain,2410,3.38333,49.6
754,ugny-le-gay,2300,3.16667,49.6667
367,happencourt,2480,3.18333,49.7833
626,prouvais,2190,3.98333,49.4667
42,azy-sur-marne,2400,3.36667,49
739,terny-sorny,2880,3.36667,49.45
272,droizy,2210,3.38333,49.2833
601,pignicourt,2190,4.03333,49.4167
531,moussy-verneuil,2160,3.63333,49.4167
5,aguilcourt,2190,3.96667,49.4
498,montaigu-02,2820,3.83333,49.5333
530,moulins-02,2160,3.68333,49.4167
701,saulchery,2310,3.3,48.9833
537,nanteuil-la-fosse,2880,3.45,49.4333
360,guignicourt,2190,3.96667,49.4333
131,bucy-le-long,2880,3.38333,49.4
438,longpont,2600,3.21667,49.2667
506,montgobert,2600,3.15,49.3
556,noircourt,2340,4.1,49.6667
662,rozet-saint-albin,2210,3.3,49.2
191,chivy-les-etouvelles,2000,3.58333,49.5167
176,chavonne,2370,3.56667,49.4
26,artonges,2330,3.55,48.9333
569,oisy-02,2450,3.66667,50.0167
398,juvigny-02,2880,3.31667,49.45
458,marchais-en-brie,2540,3.48333,48.8833
102,bouconville-vauclair,2860,3.75556,49.4656
109,bouteille,2140,3.96667,49.8667
446,ly-fontaine,2440,3.3,49.7167
435,logny-les-aubenton,2500,4.2,49.8333
248,cuirieux,2350,3.81667,49.6833
386,iron,2510,3.66667,49.95
392,joncourt,2420,3.3,49.95
275,effry,2500,4,49.9333
396,jumigny,2160,3.71667,49.4167
160,chaourse,2340,4,49.7
693,saint-remy-blanzy,2210,3.3,49.2333
56,beaumont-en-beine,2300,3.13333,49.7
606,plessier-huleu,2210,3.35,49.2333
291,estrees-02,2420,3.28333,49.9667
53,baulne-en-brie,2330,3.61667,48.9833
362,guivry,2300,3.11667,49.65
761,variscourt,2190,3.98333,49.4167
170,chatillon-sur-oise,2240,3.4,49.7833
722,soissons,2200,3.33333,49.3667
117,bray-saint-christophe,2480,3.15,49.7667
379,herie-la-vieville,2120,3.63333,49.8167
31,aubenton,2500,4.2,49.8333
118,braye,2880,3.36667,49.4333
123,brissay-choigny,2240,3.36667,49.7167
637,remaucourt-02,2100,3.33333,49.9
710,seraucourt-le-grand,2790,3.21667,49.7833
73,berry-au-bac,2190,3.9,49.4
821,vivaise,2870,3.56667,49.6167
627,proviseux-et-plesnoy,2190,4,49.4667
145,caumont-02,2300,3.18333,49.6167
813,villers-le-sec-02,2240,3.5,49.7833
796,vichel-nanteuil,2210,3.28333,49.1833
654,romery-02,2120,3.73333,49.9
320,fontaine-les-clercs,2680,3.21667,49.8
180,chery-les-pouilly,2000,3.6,49.65
604,pithon,2480,3.1,49.75
58,beaurieux-02,2160,3.73333,49.4
719,sinceny,2300,3.25,49.6
104,bouffignereux,2160,3.85,49.3667
679,saint-gengoulph,2810,3.21667,49.1167
591,pargny-les-bois,2270,3.61667,49.7167
512,montigny-l-allier,2810,3.1,49.1167
83,beuvardes,2130,3.48333,49.15
252,cuissy-et-geny,2160,3.7,49.4167
645,reuilly-sauvigny,2850,3.55,49.0667
758,vailly-sur-aisne,2370,3.51667,49.4167
88,bievres-02,2860,3.71667,49.5
71,berny-riviere,2290,3.15,49.4167
597,perles,2160,3.65,49.3167
325,fontenelle-en-brie,2540,3.48333,48.9167
542,neuflieux,2300,3.16667,49.6
675,sainte-croix-02,2820,3.78333,49.4833
590,pargny-la-dhuys,2330,3.55,48.95
120,brenelle,2220,3.53333,49.3667
756,urvillers,2690,3.31667,49.7833
415,laversine,2600,3.16667,49.35
575,origny-sainte-benoite,2390,3.5,49.8333
249,cuiry-housse,2220,3.48333,49.3
548,neuville-les-dorengt,2450,3.68333,49.9667
91,blanzy-les-fismes,2160,3.66667,49.3333
370,hargicourt-02,2420,3.18,49.9623
816,villers-sur-fere,2130,3.53333,49.1833
378,herie,2500,4.05,49.8833
99,bonnesvalyn,2400,3.31667,49.1167
377,haution,2140,3.83333,49.85
77,berzy-le-sec,2200,3.31667,49.3333
759,vallee-au-ble,2140,3.78333,49.8667
143,catelet,2420,3.25,50
346,gizy,2350,3.76667,49.6
670,saint-algis,2260,3.81667,49.8833
671,saint-aubin-02,2300,3.18333,49.5167
44,bancigny,2140,4.01667,49.8
806,villeneuve-sur-fere,2130,3.46667,49.1833
316,fleury-02,2600,3.15639,49.2581
633,quincy-sous-le-mont,2220,3.55,49.3
80,besny-et-loizy,2870,3.58333,49.6
181,chery-les-rozoy,2360,4.08333,49.7167
173,chauny,2300,3.21667,49.6167
726,sommette-eaucourt,2480,3.11667,49.7333
429,lierval,2860,3.61667,49.4833
186,chezy-sur-marne,2570,3.36667,48.9833
578,oulches-la-vallee-foulon,2160,3.75,49.4333
18,anizy-le-chateau,2320,3.45,49.5
453,maizy,2160,3.73333,49.3833
329,fourdrain,2870,3.46667,49.6
536,nampteuil-sous-muret,2200,3.41667,49.3
755,urcel,2000,3.55,49.5
441,louatre,2600,3.25,49.25
50,barzy-en-thierache,2170,3.75,50.0333
209,conde-en-brie,2330,3.55,49
259,dampleux,2600,3.15,49.25
724,sommelans,2470,3.3,49.1333
615,pontruet,2490,3.23333,49.9
568,oigny-en-valois,2600,3.13333,49.2167
442,loupeigne,2130,3.53333,49.25
427,lhuys,2220,3.55,49.2833
278,eparcy,2500,4.06667,49.8667
161,chapelle-monthodon,2330,3.63333,49.0167
527,morsain,2290,3.18333,49.45
389,jaulgonne,2850,3.53333,49.0833
178,chermizy-ailles,2860,3.73333,49.4667
61,becquigny-02,2110,3.46973,50.0173
309,festieux,2840,3.75,49.5167
814,villers-les-guise,2120,3.68333,49.9
535,nampcelles-la-cour,2140,4,49.7833
511,montigny-en-arrouaise,2110,3.48333,49.9
72,berrieux,2820,3.85,49.4833
188,chigny,2120,3.76667,49.9167
533,muret-et-crouttes,2210,3.41667,49.2833
313,flavigny-le-grand-et-beaurain,2120,3.66473,49.8909
408,laon,2000,3.61667,49.5667
674,saint-clement-02,2360,4.06667,49.7667
261,dercy,2270,3.68333,49.7
17,anguilcourt-le-sart,2800,3.43333,49.6833
811,villers-en-prayeres,2160,3.66667,49.3833
156,chalandry,2270,3.63333,49.6833
413,laval-en-laonnois,2860,3.6,49.5
335,fressancourt,2800,3.41667,49.6167
731,sourd,2140,3.75,49.8667
322,fontaine-notre-dame-02,2110,3.43333,49.8833
179,chery-chartreuve,2220,3.61667,49.2667
528,mortefontaine-02,2600,3.07611,49.3317
709,serain,2110,3.36667,50.0167
447,maast-et-violaine,2220,3.45,49.2833
550,neuville-sur-ailette,2860,3.7,49.4667
330,francilly-selency,2760,3.23333,49.85
84,bezu-le-guery,2310,3.23333,49.0167
468,marle,2250,3.76667,49.7333
416,leme-02,2140,3.76667,49.8333
193,cierges,2130,3.6,49.1667
234,craonne,2160,3.78333,49.4333
228,courtemont-varennes,2850,3.55,49.0667
610,pommiers-02,2200,3.26667,49.4
347,gland-02,2400,3.46667,49.05
404,landouzy-la-cour,2140,3.98333,49.85
515,montigny-les-conde,2330,3.56667,48.9833
423,leuilly-sous-coucy,2380,3.33333,49.4833
607,ploisy,2200,3.3,49.3333
715,serval,2160,3.68333,49.35
90,billy-sur-ourcq,2210,3.3,49.2167
12,ambrief,2200,3.4,49.3167
623,prisces,2140,3.86667,49.7833
658,roupy,2590,3.18333,49.8167
655,roncheres-02,2130,3.6,49.15
444,lugny-02,2140,3.81667,49.7833
185,chezy-en-orxois,2810,3.18333,49.1333
263,dhuizel,2220,3.61667,49.3667
292,etampes-sur-marne,2400,3.41667,49.0333
772,vaux-en-vermandois,2590,3.15,49.8167
103,boue,2450,3.7,50.0167
304,fere,2800,3.36667,49.6667
684,saint-michel-02,2830,4.13333,49.9167
142,castres-02,2680,3.23333,49.8
480,mesbrecourt-richecourt,2270,3.55,49.7
82,beugneux,2210,3.41667,49.2333
200,clermont-les-fermes,2340,3.95,49.6667
212,condren,2700,3.28333,49.6167
331,franqueville-02,2140,3.80945,49.81
22,arcy-sainte-restitue,2130,3.46667,49.25
136,burelles,2140,3.9,49.7833
649,rocourt-saint-martin,2210,3.38333,49.15
207,commenchon,2300,3.16667,49.6333
826,voulpaix,2140,3.83333,49.8333
132,bucy-les-cerny,2870,3.51667,49.5833
640,renansart,2240,3.45,49.7167
620,presles-et-boves,2370,3.55,49.4
414,lavaqueresse,2450,3.70833,49.95
245,cuffies,2880,3.31667,49.4167
807,villequier-aumont,2300,3.2,49.65
774,vendelles,2490,3.13333,49.9167
29,attilly,2490,3.16667,49.85
68,berlancourt-02,2250,3.75806,49.7787
356,grisolles-02,2210,3.35,49.15
224,courcelles-sur-vesle,2220,3.57195,49.3381
727,sons-et-roncheres,2270,3.66667,49.75
713,seringes-et-nesles,2130,3.53333,49.2
353,grandlup-et-fay,2350,3.73333,49.6667
203,coincy-02,2210,3.41667,49.1667
469,marly-gomont,2120,3.8,49.9
449,macogny,2470,3.23333,49.1667
736,tartiers,2290,3.23333,49.4333
345,gibercourt,2440,3.28333,49.7333
614,pontru,2490,3.21667,49.9
748,trelou-sur-marne,2850,3.60695,49.077
802,ville-aux-bois-les-dizy,2340,3.99334,49.6612
14,amigny-rouy,2700,3.3,49.6
165,charmes-02,2800,3.38333,49.65
800,viffort,2540,3.45,48.9667
448,machecourt,2350,3.84167,49.6583
555,nogent-l-artaud,2310,3.31667,48.9667
735,tannieres,2220,3.55,49.2833
676,saint-erme-outre-et-ramecourt,2820,3.85,49.5167
393,jouaignes,2220,3.5,49.3
765,vaucelles-et-beffecourt,2000,3.55,49.5333
